code_sages;libelle;lieu_id
780B1;POLE DE LA GESTION FISCALE;1
780B141;DIVISION 2 FISCALITE DES PROFESSIONNELS;1
7804R02;PCRP SAINT-GERMAIN-EN-LAYE 2;2
7800A;SERVICES DE DIRECTION;
78001;CIRCONSCRIPTION DES IMPOTS HOUILLES;
7800A54;DIVISION 4;3
7800251;SERVICE IMPOTS PARTICULIERS MANTES-LA-JOLIE;4
7800E12;POLE DE CONTROLE ET EXPERTISE PLAISIR;5
7809E11;SERVICE DE GESTION COMPTABLE RAMBOUILLET;6
78005;CIRCONSCRIPTION DES IMPOTS SAINT-GERMAIN-EN-LAYE;
7800A52;DIVISION 2;1
7800600;SERVICE IMPOTS DES ENTREPRISES VERSAILLES;7
7800650;SERVICE IMPOTS PARTICULIERS VERSAILLES;7
7804G05;5EME BRIGADE DEPART. VERIF. SAINT-GERMAIN-EN-LAYE;2
7806111;BUREAU ANTENNE DU CADASTRE RAMBOUILLET;8
7800C;STRUCTURES REFERENCEES AU RDS;
780F110;MISSION 1 AUDIT;1
7809E03;SERVICE DE GESTION COMPTABLE SAINT-QUENTIN-EN-YVELINES;9
7809E23;SERVICE DE GESTION COMPTABLE TRAPPES;10
7809E26;PAIERIE DEPARTEMENTALE YVELINES;7
7809E40;SERVICE DE GESTION COMPTABLE POISSY;11
78042;CIRCONSCRIPTION FONCIERE MANTES-LA-JOLIE;
7800552;SERVICE IMPOTS PARTICULIERS SAINT-GERMAIN-EN-LAYE;2
7809B;EMPLOIS MIS DISPOSITION DGCP;
780C144;DIVISION 5 DOMAINES;1
7809E13;SERVICE DE GESTION COMPTABLE SAINT-GERMAIN-EN-LAYE;2
7800A51;DIVISION 1;1
7800385;SERVICE IMPOTS PARTICULIERS HOUILLES;12
780C1;POLE DE LA GESTION PUBLIQUE;1
7807P;GROUPE DES IMMEUBLES;
7800353;SERVICE IMPOTS PARTICULIERS POISSY;11
7807P39;CENTRE DES FINANCES PUBLIQUES POISSY 6 RUE ST-BARTHELEMY;11
780C143;DIVISION 4;1
780D142;DIVISION 3 .;1
7804R03;PCRP RAMBOUILLET;8
7800E13;POLE DE CONTROLE ET EXPERTISE ST GERMAIN EN LAYE;2
7804R05;PCRP MANTES-LA-JOLIE;4
78002;CIRCONSCRIPTION DES IMPOTS MANTES-LA-JOLIE;
7803A;EMPLOIS ORIGINE CSI;
7804G;BRIGADE DEPART. VERIFICATIONS;
7807P62;IMMEUBLE VERSAILLES 52 AVE DE ST CLOUD;3
780C100;SCES DIR GESTION PUBLIQUE;1
780C141;DIVISION 2 DEPENSE ETAT;1
780D100;SCES DIR PILOTAGE-RESSOURCES;1
7809E19;TRESORERIE VERSAILLES ETS HOSPITALIERS;7
7804P61;SERVICE DEPTAL ENREGISTREMENT VERSAILLES;7
780C180;CONSEILLER ENTR. EN DIFFICULTE;1
7804190;RESIDENCE CDIF;7
7804K;BRIGADES DEPART. CONTROLE FI;
7807E;SERVICES SPECIAUX INTERVENTION;
7800303;SERVICE IMPOTS DES ENTREPRISES POISSY;11
