id;nom
1;0016 AV DE SAINT CLOUD VERSAILLES
2;0022 BD DE LA PAIX SAINT-GERMAIN-EN-LAYE
3;0052 AV DE SAINT CLOUD VERSAILLES
4;0001 PL JEAN MOULIN MANTES-LA-JOLIE
5;0017 RUE DES FRERES LUMIERE PLAISIR
6;0002B RUE PASTEUR RAMBOUILLET
7;0012 RUE DE L ECOLE DES POSTES VERSAILLES
8;0002 RUE PASTEUR RAMBOUILLET
9;0002 AV DU CENTRE GUYANCOURT
10;0025 AV P VAILLANT COUTURIER TRAPPES
11;0006 RUE SAINT BARTHELEMY POISSY
12;0004 RUE DU DOCTEUR ZAMENHOF HOUILLES
13;0044 RUE DES PIERRELAYES MUREAUX (LES)
