code_sages;libelle;lieu_id
9229E10;SERVICE DE GESTION COMPTBLE MONTROUGE;1
9220E12;POLE DE CONTROLE ET EXPERTISE SCEAUX;2
92101;CIRCONSCRIPTION DES IMPOTS ASNIERES-SUR-SEINE;
9227B;EMPLOIS MOBILES;
9210C10;SERVICES LOCAUX NANTERRE;3
9210690;RESIDENCE SIP;4
9214P02;SERVICE DE PUBLICITE FONCIERE NANTERRE 2;5
9217P33;CENTRE DES FINANCES PUBLIQUES SURESNES RUE MERLIN THIONVILLE;6
9220584;SERVICE IMPOTS PARTICULIERS MONTROUGE;1
9227E40;BRIGADE CONTROLE ET RECHERCHES;7
9227A;EMPLOIS DE RENFORT;
9224R;POLE CONTROLE REV.-PATRIMOINE;7
9210732;POLE RECOUVREMENT SPECIALISE HAUTS-DE-SEINE-DIRCOFI;8
922F1;MISSIONS;7
92110;CIRCONSCRIPTION DES IMPOTS;
9229E08;SERVICE DE GESTION COMPTABLE FONTENAY-AUX-ROSES;9
921B140;DIVISION 1 FISCA DES PART ET MISS FONC;3
92109;CIRCONSCRIPTION DES IMPOTS SURESNES;
9210A53;DIVISION 3;3
9219E12;SERVICE DE GESTION COMPTABLE NANTERRE;10
9220G;GROUPE RATTACHE SCES DIRECTION;
9210A00;SERVICES DE LA DIRECTION NANTERRE;3
9214G03;9EME BRIGADE DEPART. VERIF. NANTERRE;8
9220253;SERVICE IMPOTS PARTICULIERS ISSY-LES-MOULINEAUX;11
9210C;STRUCTURES REFERENCEES AU RDS;
9217B;EMPLOIS MOBILES;
9217L;RELATIONS PUBLIQUES;
9217P36;CENTRE DES FINANCES PUBLIQUES COLOMBES 5 RUE DU BOURNARD;12
9220190;RESIDENCE SIP;13
921C100;SCES DIR GESTION PUBLIQUE;3
922B141;DIVISION 2 CONTROLE FISCAL PRO;7
922C141;DIVISION 2;7
922D100;SCES DIR PILOTAGE-RESSOURCES;7
9220C15;POLE DE REGUL. DECONCENTRE DDFIP HAUTS-DE-SEINE;7
92203;CIRCONSCRIPTION DES IMPOTS MONTROUGE;
92206;CIRCONSCRIPTION DES IMPOTS SEVRES;
9224P;SERVICE DE PUBLICITE FONCIERE;
9210T30;INSP. PRINCIPALE DE DIRECTION;3
9214G02;8EME BRIGADE DEPART. VERIF. NANTERRE;5
9224G04;6EME BRIGADE DEPART. VERIF. VANVES;7
9219E05;SERVICE DE GESTION COMPTABLE COLOMBES;14
922B100;SCES DIR GESTION FISCALE;7
921C143;DIVISION 4 DEPENSES ETAT ET AFFAIRE ECO;3
92107;CIRCONSCRIPTION DES IMPOTS NANTERRE;
92141;CIRCONSCRIPTION FONCIERE NANTERRE;
92201;CIRCONSCRIPTION DES IMPOTS BOULOGNE-BILLANCOURT;
92202;CIRCONSCRIPTION DES IMPOTS ISSY-LES-MOULINEAUX;
9217P37;CENTRE DES FINANCES PUBLIQUES NANTERRE 235 AVE G. CLEMENCEAU;15
9220A55;DIVISION 5;7
9220504;SERVICE IMPOTS DES ENTREPRISES SCEAUX;2
9220601;SERVICE IMPOTS DES ENTREPRISES SEVRES;16
9224G08;5EME BRIGADE DEPART. VERIF. VANVES;7
9224P02;SERV PUBLIC FONC ENREGIST VANVES;7
9217P;GROUPE DES IMMEUBLES;
9210A55;DIVISION 5;3
9214G06;11EME BRIGADE DEPART. VERIF. NANTERRE;8
9220554;SERVICE IMPOTS PARTICULIERS SCEAUX;2
9214R01;PCRP SURESNES;6
9214R02;PCRP NANTERRE;6
9210735;POLE RECOUVREMENT SPECIALISE HAUTS-DE-SEINE;8
9229B01;MIS A DISPOSITION DGCP;7
921C142;DIVISION 3 FRANCE DOMAINE;3
922B142;DIVISION 3 CONTROLE FISCAL PART;7
9219E07;SERVICE DE GESTION COMPTABLE COURBEVOIE;17
9210151;SERVICE IMPOTS PARTICULIERS ASNIERES-SUR-SEINE;18
9211000;SERVICE IMPOTS DES ENTREPRISES NANTERRE RUEIL;8
9210890;RESIDENCE SIP;19
9210E;STRUCTURES ORGANISATIONNELLES;
9220E;STRUCTURES ORGANISATIONNELLES;
921C141;DIVISION 2 SECTEUR PUBLIC LOCAL;3
9214R;POLE CONTROLE REV.-PATRIMOINE;3
92204;CIRCONSCRIPTION DES IMPOTS SAINT-CLOUD;
9210790;RESIDENCE SIP;15
9220A00;SERVICES DE LA DIRECTION VANVES;7
9220T40;IDEP DE DIRECTION;7
9210290;RESIDENCE SIP;20
9214R05;PCRP NEUILLY HAUTS-DE-SEINE;21
9214R03;PCRP NEUILLY-BORDS-DE-SEINE;21
922C1;POLE DE LA GESTION PUBLIQUE;7
921D141;DIVISION 2 BUDGET IMMOBILIER LOGISTIQUE;3
922C143;DIVISION 4;22
92104;CIRCONSCRIPTION DES IMPOTS COURBEVOIE;
9210A54;DIVISION 4;3
9224P01;SERVICE DE PUBLICITE FONCIERE VANVES 1;7
9220C;STRUCTURES REFERENCEES AU RDS;
9224G;BRIGADE DEPART. VERIFICATIONS;
9224G05;4EME BRIGADE DEPART. VERIF. VANVES;7
9210T50;IDEP EXPERT;
921C1;POLE DE LA GESTION PUBLIQUE;3
922B145;DIVISION 6 AFFAIRES JURIDIQUES PRO;7
9227L;RELATIONS PUBLIQUES;
