id;nom
1;0001 PL DU GEN PIERRE BILLOTTE CRETEIL
2;0001 RUE JEAN SOULES NOGENT-SUR-MARNE
3;0009 RUE DE VALENTON BOISSY-SAINT-LEGER
4;0015 RUE PAUL BERT VILLEJUIF
5;0051 RUE CARNOT MAISONS-ALFORT
6;0009 RUE CHRISTOPHE COLOMB ORLY
7;0130 RUE DE LA JARRY VINCENNES
8;0013 BD GABRIEL PERI CHAMPIGNY-SUR-MARNE
9;0009 AV DES ARTS SAINT-MAUR-DES-FOSSES
10;0004 RUE DISPAN L'HAY-LES-ROSES
11;PL DU GEN PIERRE BILLOTTE CRETEIL
12;0094 RUE VICTOR HUGO IVRY-SUR-SEINE
13;0081 RUE CAMILLE GROULT VITRY-SUR-SEINE
14;0044 GAL ROUGET DE LISLE CHOISY-LE-ROI
