code_sages;libelle;lieu_id
940F113;MISSION 4 POLITIQUE IMMOBILIERE ETAT;1
9404K02;PCRP 1;1
9400890;RESIDENCE SIP;2
9404G09;9EME BRIGADE DEPART. VERIF. BOISSY-SAINT-LEGER;3
9407P37;CENTRE DES FINANCES PUBLIQUES VILLEJUIF 15 RUE P. BERT;4
940B143;DIVISION 4 CONTROLE FISCAL;1
940D140;DIVISION 1 RH ET FORMATION PROF;1
94002;CIRCONSCRIPTION DES IMPOTS CRETEIL;
94006;CIRCONSCRIPTION DES IMPOTS IVRY-SUR-SEINE;
9400301;SERVICE IMPOTS DES ENTREPRISES CHARENTON LE PONT;1
9400790;RESIDENCE SIP;5
940C144;DIVISION 5 RESSOURCES HUMAINES;1
940D143;DIVISION 4 STRATEGIE CONTROLE GESTION;1
94003;CIRCONSCRIPTION DES IMPOTS CHARENTON LE PONT;
9407L;RELATIONS PUBLIQUES;
9400G10;SCE DIRECTION CHARGE FDL-AGRI CRETEIL;1
940C141;DIVISION 2 COMPTA ET RECETTES ETAT;1
9404K;BRIGADES DEPART. CONTROLE FI;
9400A52;DIVISION 2;1
9400A56;DIVISION 6;1
9400390;RESIDENCE SIP;5
9404R04;PCRP 4;1
9404R01;PCRP 1;1
94012;CIRCONSCRIPTION DES IMPOTS VITRY;
9404P;SERVICE DE PUBLICITE FONCIERE;
94041;CIRCONSCRIPTION FONCIERE CRETEIL;
9400C10;SERVICES LOCAUX CRETEIL;1
9407E40;BRIGADE CONTROLE ET RECHERCHES DU VAL-DE-MARNE;1
9407P32;CENTRE DES FINANCES PUBLIQUES NOGENT-SUR-MARNE 1 RUE SOULES;2
9409B;EMPLOIS MIS DISPOSITION DGCP;
9400290;RESIDENCE SIP;1
94000;;
9400E19;POLE CONTROLE EXPERTISE POLE DEPARTEMENTAL EXPERTISE;2
9407P;GROUPE DES IMMEUBLES;
940B141;DIVISION 2 RECOUVREMENT;1
9409E11;SERVICE DE GESTION COMPTABLE ORLY;6
94004;CIRCONSCRIPTION DES IMPOTS CHOISY-LE-ROI;
9400A54;DIVISION 4;1
9407A30;ECHELON DEPT RENFORT ET ASSIST;1
9401450;SERVICE IMPOTS PARTICULIERS CRETEIL;1
9407P34;CENTRE DES FINANCES PUBLIQUES VINCENNES 130 RUE DE LA JARRY;7
9400G;GROUPE RATTACHE SCES DIRECTION;
9404G;BRIGADE DEPART. VERIFICATIONS;
9400T30;INSP. PRINCIPALE DE DIRECTION;1
9404P03;SERVICE DE PUBLICITE FONCIERE CRETEIL 3;1
940D100;SCES DIR PILOTAGE-RESSOURCES;1
9400E15;POLE DE CONTROLE ET EXPERTISE CRETEIL;1
9400E16;POLE DE CONTROLE ET EXPERTISE CHAMPIGNY-SUR-MARNE;8
940F111;MISSION 2 MISSION RISQUES AUDIT;1
9409E16;PAIERIE DEPARTEMENTALE VAL-DE-MARNE;1
9407B;EMPLOIS MOBILES;
9401151;SERVICE IMPOTS PARTICULIERS VINCENNES;7
9404G02;2EME BRIGADE DEPART. VERIF. BOISSY-SAINT-LEGER;3
94001;CIRCONSCRIPTION DES IMPOTS BOISSY-SAINT-LEGER;
9401190;RESIDENCE SIP;7
9404G08;8EME BRIGADE DEPART. VERIF. CRETEIL;1
9409E23;SERVICE DE GESTION COMPTABLE SAINT-MAUR-DES-FOSSES;9
9400E18;POLE CONTROLE EXPERTISE POLE DEPART DE PROGRAMMATION;1
940B144;DIVISION 5 COLL LOC MISSIONS FONCIERES;1
940C146;DIVISION 5 RESSOURCES HUMAINES;
940B180;CONSEILLER ENTR. EN DIFFICULTE;1
9400T;CADRES DE DIRECTION;
9400590;RESIDENCE SIP;10
9401001;SERVICE IMPOTS DES ENTREPRISES VAL-DE-BIEVRE;4
9404G05;5EME BRIGADE DEPART. VERIF. CRETEIL;1
9407E;SERVICES SPECIAUX INTERVENTION;
9400190;RESIDENCE SIP;3
9404P01;SERVICE DE PUBLICITE FONCIERE CRETEIL 1;1
940B100;SCES DIR GESTION FISCALE;1
940B142;DIVISION 3 AFFAIRES JURIDIQUES;1
940C110;SERVICE RATTACHE 1 CENTRE ENCAISSEMENT;1
9404K01;PCRP 3;1
9400E;STRUCTURES ORGANISATIONNELLES;
9400990;RESIDENCE SIP;9
9407P36;CENTRE DES FINANCES PUBLIQUES ST-MAUR-DES-FOSSES A. DES ARTS;9
9407P61;IMMEUBLE L'HAY-LES-ROSES 4 RUE DISPAN;10
940D141;DIVISION 2 BUDGET;1
940F112;MISSION 3 COMMUNICATION;1
9409E14;TRESORERIE VAL-DE-MARNE-AMENDES-TAXES URB;11
940C180;CONSEILLER ENTR. EN DIFFICULTE;1
9401351;SERVICE IMPOTS PARTICULIERS CHAMPIGNY-SUR-MARNE;8
9404G01;1ERE BRIGADE DEPART. VERIF. BOISSY-SAINT-LEGER;3
9404G06;6EME BRIGADE DEPART. VERIF. BOISSY-SAINT-LEGER;3
9404101;CENTRE DES IMPOTS FONCIER CRETEIL II;1
940C100;SCES DIR GESTION PUBLIQUE;1
94007;CIRCONSCRIPTION DES IMPOTS MAISONS-ALFORT;
9400A53;DIVISION 3;1
940C161;CENTRE DE GESTION FINANCIERE CRETEIL;1
9404R;POLE CONTROLE REV.-PATRIMOINE;
94010;CIRCONSCRIPTION DES IMPOTS VILLEJUIF;
9400235;POLE RECOUVREMENT SPECIALISE VAL-DE-MARNE;1
940C1;POLE DE LA GESTION PUBLIQUE ETAT ET MISSIONS TRANSVERSES;1
94005;CIRCONSCRIPTION DES IMPOTS L'HAY-LES-ROSES;
9400A51;DIVISION 1;1
9401051;SERVICE IMPOTS PARTICULIERS VAL-DE-BIEVRE;4
9404P02;SERVICE DE PUBLICITE FONCIERE DU VAL-DE-MARNE;1
9404P04;SERVICE DE PUBLICITE FONCIERE CRETEIL 4;1
9404P61;SERVICE DEPTAL ENREGISTREMENT DU VAL-DE-MARNE;1
9409E09;SERVICE DE GESTION COMPTABLE IVRY-SUR-SEINE;12
940C145;DIVISION 6 BUDGET LOGISTIQUE IMMOBILIER;1
9400E14;POLE DE CONTROLE ET EXPERTISE VITRY-SUR-SEINE;13
940D1;POLE DU PILOTAGE ET RESSOURCES;1
9409E20;SERVICE DE GESTION COMPTABLE VINCENNES;7
9407A;EMPLOIS DE RENFORT;
9401400;SERVICE IMPOTS DES ENTREPRISES CRETEIL;1
9404R02;PCRP 2;1
94014;CIRCONSCRIPTION DES IMPOTS CRETEIL;
9409B01;MIS A DISPOSITION DGCP;1
94009;CIRCONSCRIPTION DES IMPOTS SAINT-MAUR DES FOSSES;
9400451;SERVICE IMPOTS PARTICULIERS CHOISY-LE-ROI;14
9407L08;RELATIONS PUBLIQUES CRETEIL;1
9407P31;CENTRE DES FINANCES PUBLIQUES MAISONS-ALFORT 51 RUE CARNOT;5
9407P35;CENTRE DES FINANCES PUBLIQUES CHOISY-LE-ROI GAL ROUGET ISLE;14
9400C;STRUCTURES REFERENCEES AU RDS;
94008;CIRCONSCRIPTION DES IMPOTS NOGENT-SUR-MARNE;
9400T40;IDEP DE DIRECTION;1
9407P39;CENTRE DES FINANCES PUBLIQUES CRETEIL LIBERATIONS BILLOTTE;1
9400E17;POLE DE CONTROLE ET EXPERTISE VINCENNES;7
940C142;DIVISION 3 DEPENSES ETAT;1
9400351;SERVICE IMPOTS PARTICULIERS MAISONS-ALFORT CHARENTON;5
9404G03;3EME BRIGADE DEPART. VERIF. CRETEIL;1
9404R03;PCRP 3;1
9404K03;PCRP 2;1
9400A;SERVICES DE DIRECTION;
94013;CIRCONSCRIPTION DES IMPOTS CHAMPIGNY;
9400A00;SERVICES DE LA DIRECTION CRETEIL;1
9400A55;DIVISION 5;1
9407P38;CENTRE DES FINANCES PUBLIQUES CHAMPIGNY 13 BRD G. PERI;8
940B140;DIVISION 1 PART, PRO ET ACTION ECONOMIQUE;1
9409E15;SERVICE DE GESTION COMPTABLE CRETEIL;1
940F110;MISSION 1 EQUIPE AUDITEURS;1
9404121;SDIF DU VAL-DE-MARNE;1
9400801;SERVICE IMPOTS DES ENTREPRISES MARNE ET BOIS;2
9407P33;CENTRE DES FINANCES PUBLIQUES BOISSY-ST-LEGER RUE VALENTON;3
940B1;POLE DE LA GESTION FISCALE PARTENAIRES ET ANIM RESEAU;1
940D142;DIVISION 3 LOGISTIQUE IMMOBILIER;1
94011;CIRCONSCRIPTION DES IMPOTS VINCENNES;
9401081;SERVICE IMPOTS PARTICULIERS VITRY-SUR-SEINE;13
9401390;RESIDENCE SIP;8
940F1;MISSIONS;1
9409E;FILIERE GESTION PUBLIQUE;
940C111;SERVICE RATTACHE 2;1
940C112;SERVICE RATTACHE 3 TRAITEMENT CHEQUES;1
940C140;DIVISION 1 PILOTAGE CONTROLE DE GESTION;1
940C143;DIVISION 4 DOMAINE;1
9409E03;TRESORERIE HOSPITALIERE DEPARTEMENTALE DU VAL-DE-MARNE;1
