id;nom
1;0027 RUE DES MAZIERES EVRY-COURCOURONNES
2;0021B RUE FERAY CORBEIL ESSONNES
3;0039 AV CARNOT CORBEIL ESSONNES
4;RUE SALVADOR ALLENDE ETAMPES
5;0003 RUE EMILE ZOLA PALAISEAU
6;0002 RUE SALVADOR ALLENDE ETAMPES
7;0128 ALL DES CHAMPS ELYSEES EVRY-COURCOURONNES
8;0075 RUE FERAY CORBEIL ESSONNES
9;0010 AV DE SAVIGNY JUVISY SUR ORGE
10;0008 AV DE FRANCE MASSY
11;0032 BD DIDEROT PALAISEAU
12;RUE FERAY CORBEIL ESSONNES
13;0006 AV DE FRANCE MASSY
14;0004Q AV DE FRANCE MASSY
15;0075B RUE FERAY CORBEIL ESSONNES
16;0023 RUE FERAY CORBEIL ESSONNES
17;0004 RUE GABRIEL PERI GRIGNY
18;0008 AV DU MARECHAL LECLERC LONGJUMEAU
19;0002 RUE DU STADE YERRES
20;0005 RUE FRANCOIS TRUFFAUT EVRY-COURCOURONNES
21;0308 SQ DES CHAMPS ELYSEES EVRY-COURCOURONNES
22;0022 RUE DEBERTRAND DOURDAN
23;0029 AV DU GENERAL DE GAULLE ARPAJON
24;BD DE FRANCE-GEORGES POMPIDOU EVRY-COURCOURONNES
25;0006 RUE PROMETHEE EVRY-COURCOURONNES
26;0003 RUE VEUVE LAPREE PALAISEAU
27;0004 AV DU GEN LECLERC FERTE-ALAIS (LA)
28;0003 RUE EMILE KAHN SAINTE-GENEVIEVE-DES-BOIS
29;0009 RUE APPERT MASSY
