code_sages;libelle;lieu_id
910D1;POLE DU PILOTAGE ET RESSOURCES;1
910D140;DIVISION 1 RESSOURCES HUMAINES-FOR PRO;1
9109E04;TRESORERIE HOSPITALIERE DE CORBEIL;2
9109B01;MIS A DISPOSITION DGCP;
91041;CIRCONSCRIPTION FONCIERE CORBEIL;
9107B;EMPLOIS MOBILES;
9100800;SERVICE IMPOTS DES ENTREPRISES CORBEIL;3
9104P04;SERVICE DE PUBLICITE FONCIERE ETAMPES;4
9109F02;SERVICE DE GESTION COMPTABLE DE PALAISEAU;5
91043;CIRCONSCRIPTION FONCIERE PALAISEAU;
9104P61;SERVICE DEPTAL ENREGISTREMENT ETAMPES;6
91006;CIRCONSCRIPTION DES IMPOTS PALAISEAU;
9100A56;DIVISION 6;
910B1;POLE DE LA GESTION FISCALE;7
910C100;SCES DIR GESTION PUBLIQUE;1
9100C;STRUCTURES REFERENCEES AU RDS;
9104K;BRIGADES DEPART. CONTROLE FI;
9100A53;DIVISION 3;
9100A55;DIVISION 5;
9100651;SERVICE IMPOTS PARTICULIERS PALAISEAU;5
910C1;POLE DE LA GESTION PUBLIQUE;1
9109E;FILIERE GESTION PUBLIQUE;
9107E;SERVICES SPECIAUX INTERVENTION;
9104P02;SERVICE DE PUBLICITE FONCIERE CORBEIL 2;8
9107P32;CENTRE DES FINANCES PUBLIQUES CORBEIL 39 RUE CARNOT;3
9107P33;CENTRE DES FINANCES PUBLIQUES JUVISY 10-14 AVE DE SAVIGNY;9
9107P41;CENTRE DES FINANCES PUBLIQUES MASSY 6 AVENUE DE FRANCE;10
9107P38;CENTRE DES FINANCES PUBLIQUES ETAMPES RUE SALVADOR ALLENDE;4
910B143;DIVISION 4 CONTROLE FISCAL;7
9104R01;PCRP CORBEIL;2
9104R02;PCRP PALAISEAU;5
9104G01;1ERE BRIGADE DEPART. VERIF. EVRY;7
9104G05;5EME BRIGADE DEPART. VERIF. MASSY;10
9104G07;7EME BRIGADE DEPART. VERIF. EVRY;7
9107P35;CENTRE DES FINANCES PUBLIQUES PALAISEAU 32-34 BRD DIDEROT;11
91005;CIRCONSCRIPTION DES IMPOTS MASSY;
91008;CIRCONSCRIPTION DES IMPOTS EVRY;
9100552;SERVICE IMPOTS PARTICULIERS MASSY;10
9100835;POLE RECOUVREMENT SPECIALISE ESSONNE;7
910D100;SCES DIR PILOTAGE-RESSOURCES;1
