id;nom
1;0009 PL SAINT SULPICE PARIS 06
2;0001 RUE LULLI PARIS 02
3;0009 RUE D UZES PARIS 02
4;0017 PL DE L ARGONNE PARIS 19
5;0020 RUE LA BOETIE PARIS 08
6;0094 RUE REAUMUR PARIS 02
7;0006 RUE PAGANINI PARIS 20
8;0016 RUE NOTRE-DAME DES VICTOIRES PARIS 02
9;0005 RUE DE LONDRES PARIS 09
10;0101 RUE DE TOLBIAC PARIS 13
11;0013 RUE DU GAL BEURET PARIS 15
12;0009 RUE DE LA BANQUE PARIS 02
13;0005 CITE PARADIS PARIS 10
14;0032 RUE DE SAINT PETERSBOURG PARIS 08
15;0012 RUE GEORGE SAND PARIS 16
16;0027B RUE DES MEUNIERS PARIS 12
17;0061 RUE EUGENE CARRIERE PARIS 18
18;0006 RUE SAINT-HYACINTHE PARIS 01
19;0146 AV DE MALAKOFF PARIS 16
20;0006 BD DE REIMS PARIS 17
21;0011 RUE DE LA BANQUE PARIS 02
22;0029 RUE DU MOULIN VERT PARIS 14
23;0006A BD DE REIMS PARIS 17
24;0013 RUE DE LA BANQUE PARIS 02
25;0004 RUE BOUCRY PARIS 18
26;0015 RUE MARYSE HILSZ PARIS 20
27;0039 RUE GODEFROY CAVAIGNAC PARIS 11
28;0009 RUE DE LONDRES PARIS 09
29;0029B RUE DU MOULIN VERT PARIS 14
30;0010 RUE MICHEL LE COMTE PARIS 03
31;0009 RUE SAINT SULPICE PARIS 06
