code_sages;libelle;lieu_id
930B143;DIVISION 4 DIV AFFAIRES JURIDIQUES;1
930B144;DIVISION 5 DIV COLLECTIVITES LOCALES;1
930F112;MISSION 3 COMMUNICATION;1
9300G;GROUPE RATTACHE SCES DIRECTION;
9300A51;DIVISION 1;2
9300C10;SERVICES LOCAUX BOBIGNY;2
930F113;MISSION 4 POLITIQUE IMMOBILIERE ETAT;1
9301001;SERVICE IMPOTS DES ENTREPRISES SAINT-DENIS;3
9309E17;SERVICE DE GESTION COMPTABLE BOBIGNY;1
9309E33;SERVICE DE GESTION COMPTABLE SAINT-OUEN-SUR-SEINE;4
93002;CIRCONSCRIPTION DES IMPOTS AULNAY-SOUS-BOIS;
93009;CIRCONSCRIPTION DES IMPOTS LE RAINCY;
9304P;SERVICE DE PUBLICITE FONCIERE;
9307P;GROUPE DES IMMEUBLES;
9300G10;SCE DIRECTION CHARGE FDL-AGRI BOBIGNY;2
9304G10;9EME BRIGADE DEPART. VERIF. AUBERVILLIERS;5
9309E21;SERVICE DE GESTION COMPTABLE TREMBLAY-EN-FRANCE;6
9300C;STRUCTURES REFERENCEES AU RDS;
9307P62;IMMEUBLE LIVRY GARGAN 21 RUE P LEBON;7
9300790;RESIDENCE SIP;8
930F111;MISSION 2 CABINET;9
93005;CIRCONSCRIPTION DES IMPOTS MONTREUIL;
9304G;BRIGADE DEPART. VERIFICATIONS;
9300T40;IDEP DE DIRECTION;2
9304P05;SERVICE DE PUBLICITE FONCIERE BOBIGNY 5;10
9307P39;CENTRE DES FINANCES PUBLIQUES NEUILLY-SUR-MARNE RUE MARTYRS;11
9300190;RESIDENCE SIP;5
9300590;RESIDENCE SIP;12
930D1;POLE OPERATIONS ETAT ET RESSOURCES;1
930F110;MISSION 1 MISSION MAITRISE D'ACTIVITE;1
9301190;RESIDENCE SIP;4
9300335;POLE RECOUVREMENT SPECIALISE SEINE-SAINT-DENIS;1
9300A53;DIVISION 3;2
9300951;SERVICE IMPOTS PARTICULIERS LE RAINCY;13
9301051;SERVICE IMPOTS PARTICULIERS SAINT-DENIS;14
930C143;DIVISION 4 DIV MISSIONS DOMANIALES;1
930D145;DIVISION 6 MISSIONS DOMANIALES;1
930D146;DIVISION 7 COMPTA SERVICES FINANCIERS;1
93006;CIRCONSCRIPTION DES IMPOTS NEUILLY-SUR-MARNE;
9304G06;6EME BRIGADE DEPART. VERIF. PANTIN;15
9304K01;PCRP BCFI;1
9307P33;CENTRE DES FINANCES PUBLIQUES NOISY-LE-SEC 91 RUE DU PARC;16
9307P38;CENTRE DES FINANCES PUBLIQUES AUBERVILLERS 87 BRD F. FAURE;5
930D100;SCES POLE OPERATIONS ETAT ET RESSOURCES;1
9309E25;PAIERIE DEPARTEMENTALE SEINE-SAINT-DENIS;1
9300A54;DIVISION 4;2
9300T50;IDEP EXPERT;2
9304K;PCRP BCFI;1
