id;nom
1;0007 RUE HECTOR BERLIOZ BOBIGNY
2;0007 RUE ERIK SATIE BOBIGNY
3;0175 BD ANATOLE FRANCE SAINT-DENIS
4;0005 RUE EMILE CORDON SAINT-OUEN-SUR-SEINE
5;0087 BD FELIX FAURE AUBERVILLIERS
6;0034 AV NELSON MANDELA TREMBLAY-EN-FRANCE
7;0021 RUE PHILIPPE LEBON LIVRY-GARGAN
8;0009 RUE SAINT DENIS NOISY-LE-SEC
9;0013 ESP JEAN MOULIN BOBIGNY
10;0015 PROM JEAN ROSTAND BOBIGNY
11;0005 RUE MARTYRS DE LA DEPORTATION NEUILLY-SUR-MARNE
12;0033 RUE PARMENTIER MONTREUIL
13;0022 ALL DE L EGLISE LE RAINCY
14;0035 RUE AUGUSTE POULLAIN SAINT-DENIS
15;0010 RUE LA GUIMARD PANTIN
16;0091 RUE DU PARC NOISY-LE-SEC
17;0050 ALL DES IMPRESSIONNISTES VILLEPINTE
18;0202 AV JEAN JAURES NEUILLY-SUR-MARNE
19;CTRE D AFFAIRES PARINOR LE BLANC-MESNIL
20;0001 RUE SAINT DENIS NOISY-LE-SEC
21;0090 AV MARCEAU DRANCY
22;0013 RUE DU JEU D ARC MONTFERMEIL
23;0033B RUE PARMENTIER MONTREUIL
24;0032 RUE DELIZY PANTIN
25;0075 AV DE LA CROIX BLANCHE AULNAY SOUS BOIS
26;0009 BD DU REMPART NOISY-LE-GRAND
27;0005 RUE ARTHUR RIMBAUD BONDY
28;0012 RUE HENRI ROL TANGUY MONTREUIL
29;0037 AV DE LA REPUBLIQUE LE BLANC-MESNIL
30;0020 RUE LUCIEN SPORTISS SEVRAN
31;0010 RUE DU CENTRE NOISY-LE-GRAND
32;0005 RUE DE LISBONNE ROSNY-SOUS-BOIS
33;0002 RUE DU DR DELAFONTAINE SAINT-DENIS
