code_sages;libelle;lieu_id
770B140;DIVISION 1 FISCALITE DES PROFESSIONNELS;1
770D110;SERVICE RATTACHE 1;2
770C142;DIVISION 3 MISSIONS DOMANIALES;2
7700A52;DIVISION 2;1
7700601;SERVICE IMPOTS DES ENTREPRISES MONTEREAU-FAULT-YONNE;3
7704B06;6EME BRIGADE DEPART. VERIF. MEAUX;4
7707P36;CENTRE DES FINANCES PUBLIQUES COULOMMIERS RUE CLAVIER;5
7704R03;PCRP MEAUX;4
7700E10;POLE DE CONTROLE ET EXPERTISE FONTAINEBLEAU;6
7700290;RESIDENCE SIP;6
7700990;RESIDENCE SIP;7
7700E12;POLE DE CONTROLE ET EXPERTISE MEAUX;4
770F1;MISSIONS;2
7700G;GROUPE RATTACHE SCES DIRECTION;
77045;CIRCONSCRIPTION FONCIERE MEAUX;
7700A55;DIVISION 5;1
77000;;
770B141;DIVISION 2 RECOUVREMENT RECOUVREMENT;1
770C141;DIVISION 2 OPERATIONS ETAT;2
7700T;CADRES DE DIRECTION;
7700351;SERVICE IMPOTS PARTICULIERS LAGNY-SUR-MARNE;8
7709E41;TRESORERIE HOPITAUX DU SUD SEINE-ET-MARNE;1
7700591;RESIDENCE SIP;9
7704P;SERVICE DE PUBLICITE FONCIERE;
7700G10;SCE DIRECTION CHARGE FDL-AGRI MELUN;2
7703A01;EMPLOIS ORIGINE CSI;
7704B01;1ERE BRIGADE DEPART. VERIF. MELUN;1
770D100;SCES DIR PILOTAGE-RESSOURCES;2
7709E34;TRESORERIE LAGNY CH EST FRANCILIEN;10
770C1;POLE DE LA GESTION PUBLIQUE;2
770F113;MISSION 4 POLITIQUE IMMOBILIERE ETAT;2
7709E08;SERVICE DE GESTION COMPTABLE MELUN;1
77003;CIRCONSCRIPTION DES IMPOTS LAGNY-SUR-MARNE;
7707L;RELATIONS PUBLIQUES;
7704P05;SERVICE DE PUBLICITE FONCIERE COULOMMIERS 2;11
7704321;CENTRE DES IMPOTS FONCIER FONTAINEBLEAU;6
7700190;RESIDENCE SIP;5
7700690;RESIDENCE SIP;3
7704B05;5EME BRIGADE DEPART. VERIF. MEAUX;4
7704521;CENTRE DES IMPOTS FONCIER MEAUX;4
7707A30;ECHELON DEPT RENFORT ET ASSIST;1
7707P38;CENTRE DES FINANCES PUBLIQUES MEAUX AVENUE SALVADOR ALLENDE;4
7704R;POLE CONTROLE REV.-PATRIMOINE;
7700E11;POLE DE CONTROLE ET EXPERTISE LAGNY;8
7707E;SERVICES SPECIAUX INTERVENTION;
7700C10;SERVICES LOCAUX MELUN;1
7707P43;CENTRE DES FINANCES PUBLIQUES CHELLES;12
7707P61;IMMEUBLE MEAUX 25 RUE DES CORDELIERS;13
