id;nom
1;0020 QUAI HIPPOLYTE ROSSIGNOL MELUN
2;0038 AV THIERS MELUN
3;0010 RUE ETIENNE THIBAULT MONTEREAU FAULT YONNE
4;0021 PL DE L EUROPE MEAUX
5;RUE MARCEL CLAVIER COULOMMIERS
6;0028 RUE D AVON FONTAINEBLEAU
7;AV DE LA MALIBRAN ROISSY-EN-BRIE
8;0003 RUE DELAMBRE LAGNY-SUR-MARNE
9;0004 RUE DES TANNEURS NEMOURS
10;0104 RUE SAINT DENIS LAGNY-SUR-MARNE
11;0024 RUE MARCEL CLAVIER COULOMMIERS
12;0044 BD CHILPERIC CHELLES
13;0025 RUE DES CORDELIERS MEAUX
14;0008 AV ANDRE MALRAUX PROVINS
15;3/5 CRS DES ROCHES NOISIEL
16;TRAIT D UNION LIEUSAINT
17;0022 BD CHAMBLAIN MELUN
18;0001B RUE ARMAND CASSAGNE MELUN
19;0004 RUE DES FOSSES MELUN
20;0003 CRS DES ROCHES NOISIEL
