code_sages;libelle;lieu_id
758B310;SERVICE RATTACHE 1;1
75403;CIRCONSCRIPTION DES IMPOTS PARIS 3E ARRT;
75541;CIRCONSCRIPTION FONCIERE PARIS EST;
7567B;EMPLOIS MOBILES;
7540290;RESIDENCE SIP;2
7547P40;CENTRE DES FINANCES PUBLIQUES PARIS 2E 9 RUE D'UZES;3
7550T30;INSP. PRINCIPALE DE DIRECTION;4
7574B05;5EME BRIGADE DEPART. VERIF. PARIS OUEST;1
7580A53;DIVISION 3;1
7570T50;IDEP EXPERT;5
754D140;DIVISION 1 RH VIE DE L'AGENT ET CVT;6
754D143;DIVISION 4 FORMATION PROFESSIONNELLE;7
754D146;DIVISION GESTIONS DE SITE ET SECURITE;8
7549E;FILIERE GESTION PUBLIQUE;
7549E27;TRESORERIE ETABLISSEMENTS PUBLICS LOCAUX;6
7549E32;DRFIP D'IDF ET DE PARIS SGC VPRIF - METROPOLE GD PARIS;6
7577E;SERVICES SPECIAUX INTERVENTION;
7560A00;SERVICES DE LA DIRECTION PARIS NORD;9
7560102;SERVICE IMPOTS DES ENTREPRISES PARIS 8E MADELEINE;9
7564B02;2EME BRIGADE DEPART. VERIF. PARIS NORD;4
7570A00;SERVICES DE LA DIRECTION PARIS OUEST;5
7577P31;CENTRE DES FINANCES PUBLIQUES PARIS 7E 9 PLACE ST SULPICE;1
7584B07;7EME BRIGADE DEPART. VERIF. PARIS SUD;10
7584K01;BRIGADE CONTROLE FI 3;1
7547P43;CENTRE DES FINANCES PUBLIQUES PARIS 2E NOTRE-DAME-VICTOIRES;8
7570E12;POLE DE CONTROLE ET EXPERTISE PARIS 15E;11
7584P;SERVICE DE PUBLICITE FONCIERE;
754B241;DIVISION 2 FISCALITE PROFESSIONNELS;12
754D110;SERVICE RATTACHE 1 CABINET-DIRECTEUR;6
754F111;MISSION 2 POLITIQUE IMMOBILIERE ETAT;6
7550135;POLE RECOUVREMENT SPECIALISE PARISIEN 1;9
7540500;SERVICE IMPOTS DES ENTREPRISES PARIS 9E;13
7544B;BRIGADE DEPART. VERIFICATIONS;
7587A;EMPLOIS DE RENFORT;
7564B01;1ERE BRIGADE DEPART. VERIF. PARIS NORD;4
7570A51;DIVISION 1;5
7570235;POLE RECOUVREMENT SPECIALISE PARISIEN 2;10
7570251;SERVICE IMPOTS PARTICULIERS PARIS 15E OUEST;11
7574B06;6EME BRIGADE DEPART. VERIF. PARIS OUEST;11
754C142;DIVISION 3 CENTRE GESTION RETRAITES;6
754F114;MISSION 5 MISSION MAITRISE DES RISQUES;6
7567P38;CENTRE DES FINANCES PUBLIQUES PARIS 8E RUE SAINT-PETERSBOURG;14
7574R04;PCRP PARIS 7E;1
75702;CIRCONSCRIPTION DES IMPOTS PARIS 15E ARRT;
7544B14;14EME BRIGADE DEPART. VERIF. PARIS CENTRE;15
7550251;SERVICE IMPOTS PARTICULIERS PARIS 12E;16
7560T30;INSP. PRINCIPALE DE DIRECTION;9
7564B09;9EME BRIGADE DEPART. VERIF. PARIS NORD;4
